X,Y,OBJECTID,REPT_NO,LABEL,YEARDRILLED,GRIDNAME,GRIDLINE,GRIDSTATION,LOCATIONMAP,COMMENTS,AZIMUTHTRUE,DIP,LENGTH_M,OVERBURDEN_M,SURFACEROCK,CORESIZE,LOGSREPORTED,LOCATIONDETAIL
-65.9686738394462,47.8539201474017,4335,470485,#2,1965, , , ,Yes,no drill log reported,,,26.2128,, ,17,No, 
-65.9683431676701,47.8535858743018,4336,470485,#3,1965, , , ,Yes,no drill log reported,,,42.672,, ,17,No, 
-65.968223461008,47.8535313649683,4337,470485,#4,1965, , , ,Yes,no drill log reported,,,51.816,, ,17,No, 
-65.9680771228735,47.8534677399687,4338,470485,#5,1965, , , ,Yes,no drill log reported,,,53.34,, ,17,No, 
-65.9688211790473,47.8538848479573,4339,470485,#6,1965, , , ,Yes,no drill log reported,,,29.2608,, ,17,No, 
-65.968927889037,47.8539033232776,4340,470485,#7,1965, , , ,Yes,no drill log reported,,,27.432,, ,17,No, 
-65.968901983742,47.8538222634249,4341,470485,#8,1965, , , ,Yes,no drill log reported,,,31.3944,, ,17,No, 
-65.9685400429455,47.8539375217232,4342,470485,#9,1965, , , ,Yes,no drill log reported,,,29.2608,, ,17,No, 
-65.9685126835963,47.8540003507766,4343,470485,#10,1965, , , ,Yes,no drill log reported,,,29.2608,, ,17,No, 
-65.96727631894,47.8546961732912,4344,470485,#11,1965, , , ,Yes,no drill log reported,,,33.528,, ,17,No, 
-65.9671963312459,47.854677819145,4345,470485,#12,1965, , , ,Yes,no drill log reported,,,31.3944,, ,17,No, 
-65.9671289760341,47.8547314707569,4346,470485,#13,1965, , , ,Yes,no drill log reported,,,32.3088,, ,17,No, 
-65.9694928162754,47.8495620536508,4347,470485,#14,1965, , , ,Yes,no drill log reported,,,21.6408,, ,17,No, 
-65.9695068117756,47.8494991631797,4348,470485,#15,1965, , , ,Yes,no drill log reported,,,24.384,, ,17,No, 
-65.9692277878009,47.8493449979472,4349,470485,#16,1965, , , ,Yes,no drill log reported,,,36.576,, ,17,No, 
-65.9703173537855,47.8499435467022,4350,470485,#17,1965, , , ,Yes,no drill log reported,,,153.3144,, ,17,No, 
-65.9777974100558,47.8636115389443,4351,470494,M-1,1960, , , ,Yes, ,285,-45,39.9288,,acid volcanics,17,Yes, 
-66.2985322570095,47.1884485136289,4352,470765,H-3,1955, , , ,Yes, ,46,-40,21.6408,,graphite schist,17,Yes, 
-66.4732326193289,47.4384309055018,4353,470859,U-4,1957, , , ,Yes,,197,45,137.16,3.6576,Chlorite Schist,17,1, 
-66.4863685761836,47.4464384433278,4354,470859,U-7,1957, , , ,Yes,,259,45,92.964,10.3632,Feldspar Porphyry,17,1, 
-66.5524943382519,47.5016809196638,4355,470880,C-54,1970, , , ,Yes,drill hole extension starting at 605ft (184.4m),,90,77.4192,,chlorite sericite schist at 605ft (184.4m),AQ,Yes, 
-66.5527866239917,47.5019596154992,4356,470880,C-57,1970, , , ,Yes,drill hole extension starting at 720ft (219.46m),,90,55.96128,,fine-grained dacite at 720ft (219.46m),AQ,Yes, 
-66.5524813497079,47.501968748981,4357,470880,C-60,1970, , , ,Yes,drill hole extension starting at 730ft (222.5m),,90,48.79848,,fine-grained feldspar porphyry at 730ft (222.5m),AQ,Yes, 
-66.2311746667633,47.1007131039748,4358,476520,C-07-081,2007, , , ,Yes, ,,-90,104,4.5,chlorite schist, ,Yes,
-66.2311609974342,47.1008120234456,4359,476520,C-07-082,2007, , , ,Yes, ,,-90,107,3,Chlorite schist, ,Yes,
-66.2311752525104,47.1005961627802,4360,476520,C-07-083,2007, , , ,Yes, ,,-90,107,3,chlorite schist, ,Yes,
-66.2313327508068,47.1007134730704,4361,476520,C-07-095,2007, , , ,Yes, ,,-90,110,3,chlorite schist, ,Yes,
-66.2309897844966,47.1008026278504,4362,476520,C-07-146,2007, , , ,Yes, ,,-90,101,4.5,chlorite schist, ,Yes,
-66.2166571511516,47.1007052696392,4363,476520,C-07-147,2007, , , ,Yes, ,,-90,101,4,chlorite schist, ,Yes,
-66.2310172589816,47.1005778025156,4364,476520,C-07-148,2007, , , ,Yes, ,,-90,93,4.5,chlorite schist, ,Yes,
-66.2166585283783,47.1004444010591,4365,476520,C-07-150,2007, , , ,Yes, ,,-90,83,3,chlorite schist, ,Yes,
-66.2310710803977,47.100353038721,4366,476520,C-07-151,2007, , , ,Yes, ,,-90,80,2.6,chlorite schist, ,Yes,
-66.2308448738857,47.1008022890891,4367,476520,C-07-153,2007, , , ,Yes, ,,-90,117,2.7,chlorite schist, ,Yes,
-66.2308454603528,47.1006853478997,4368,476520,C-07-154,2007, , , ,Yes, ,,-90,104,4.5,quartz vein, ,Yes,
-66.2308196544311,47.100577340571,4369,476520,C-07-155,2007, , , ,Yes, ,,-90,86,2.75,chlorite schist, ,Yes,
-66.2308337754727,47.1003884663667,4370,476520,C-07-156,2007, , , ,Yes, ,,-90,80,2.57,felsic tuff, ,Yes,
-66.2308213237447,47.1002445079262,4371,476520,C-07-159,2007, , , ,Yes, ,,-90,71,4.75,chlorite schist, ,Yes,
-66.231045544652,47.1001910585682,4372,476520,C-07-163,2007, , , ,Yes, ,,-90,74,4.5,chlorite schist, ,Yes,
-66.0172490161067,47.3883495329889,4373,476525,MS-05-1,2005, , , ,Yes, ,308,45,322.5,3,black shale with fragments of andesite,NQ,Yes,
-66.0302092083422,47.3876024479856,4374,476525,MS-05-2,2005, , , ,Yes, ,338,35,424.5,6,interlayered greyish black shale,NQ,Yes,
-66.0294813499767,47.3905318199016,4375,476525,MS-05-3,2005, , , ,Yes, ,341,55,278.5,3,feldspar porphyry,NQ,Yes,
-66.0193448339655,47.3909398124327,4376,476525,MS-05-4,2005, , , ,Yes, ,338,45,328.5,12.5,felsic volcanic rocks,NQ,Yes,
-65.7972804298866,47.229246096511,4377,476532,ELN-07-134,2007, , , ,Yes, ,110,-80,365,12,Sediment,NQ,Yes,
-65.7733940798944,47.2863715383471,4378,476532,ELN-07-140,2007, , , ,Yes, ,130,-55,401,9,rhyolite,NQ,Yes,
-65.5635010522216,47.4678654309647,4379,476532,ELN-08-172,2008, , , ,Yes, ,200,-70,563,20,"Sediment, Carboniferous",NQ,Yes,
-65.6930563744563,47.4559801070659,4380,476551,ELN-06-092,2006, , , ,Yes, ,70,-80,446,6.6,sediment (tuffaceous sediments), ,Yes,
-65.6745274816273,47.4671917571989,4381,476551,ELN-06-098,2006, , , ,Yes, ,215,-50,140,9,"sediment, Carboniferous", ,Yes,
